#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Views / Plays,Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Classification,Caption Preview
1,Tier 1: Toggle ON + Boosted,Senco Gold & Diamonds,West Bengal (HQ: Kolkata),@sonalimitra_,307535,108001427,76755,219,0.07%,25.03%,2026-06-26,https://www.instagram.com/p/DaDSSD9Pk7S/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (108,001,427) with sub-0.35% like rate (0.07%) indicates paid ThruPlay ad campaign","Some outfit dilemmas never get old. Luckily, your jewellery doesn’t have to."
2,Tier 1: Toggle ON + Boosted,BlueStone,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@shruti.agrawal9,16954,92311482,59470,75,0.06%,351.22%,2026-05-08,https://www.instagram.com/p/DYE6OmAs89N/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (92,311,482) with sub-0.35% like rate (0.06%) indicates paid ThruPlay ad campaign",Elevating basics with @bluestone_jewellery 💙
3,Tier 1: Toggle ON + Boosted,BlueStone,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@itsspoojachaudhary,111442,78524258,96061,218,0.12%,86.39%,2025-11-21,https://www.instagram.com/p/DRT3gkZk_as/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (78,524,258) with sub-0.35% like rate (0.12%) indicates paid ThruPlay ad campaign",Getting date-ready with Bluestone💙✨
4,Tier 1: Toggle ON + Boosted,Tanishq,"Pan-India / Karnataka (HQ: Bengaluru, Titan)",@fayedsouza,2295789,65434812,38739,93,0.06%,1.69%,2026-05-01,https://www.instagram.com/p/DXyquRKBYOM/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (65,434,812) with sub-0.35% like rate (0.06%) indicates paid ThruPlay ad campaign","Arun Narayan, CEO, Jewellery Division, Titan Company Limited talks about the Diamond Caratmeter at the Tanishq Diamond Expertise Centre which helps cu"
5,Tier 1: Toggle ON + Boosted,BlueStone,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@shruti.agrawal9,16954,25869394,3,46,0.00%,0.29%,2026-05-22,https://www.instagram.com/p/DYpBVsysiWs/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (25,869,394) with sub-0.35% like rate (0.0%) indicates paid ThruPlay ad campaign",POV: You can’t stop buying jewelry @bluestone_jewellery is the reason ✨💙
6,Tier 1: Toggle ON + Boosted,Senco Gold & Diamonds,West Bengal (HQ: Kolkata),@singini.chowdhury,123719,21459300,17342,94,0.08%,14.09%,2026-06-30,https://www.instagram.com/p/DaMv-evhH-1/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (21,459,300) with sub-0.35% like rate (0.08%) indicates paid ThruPlay ad campaign",Not every jewellery piece needs a big moment to make it out of your closet. Some are meant to make your halke-phulke moments special!
7,Tier 1: Toggle ON + Boosted,Malabar Gold & Diamonds,Kerala (HQ: Kozhikode),@mirnaliniravi,1486479,12710434,6476,40,0.05%,0.44%,2026-06-23,https://www.instagram.com/p/DZ7cgaROXLc/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (12,710,434) with sub-0.35% like rate (0.05%) indicates paid ThruPlay ad campaign",There’s no better way to celebrate another year of growth than by investing in pieces that truly define who I am.
8,Tier 1: Toggle ON + Boosted,Khimji Jewellers,Odisha (HQ: Bhubaneswar),@ankitamohanty_official,36044,2311866,4083,31,0.18%,11.41%,2026-06-12,https://www.instagram.com/p/DZebvXLyeQB/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (2,311,866) with sub-0.35% like rate (0.18%) indicates paid ThruPlay ad campaign","Raja calls for new payals, new memories, and new excitement with every step 💕✨"
9,Tier 1: Toggle ON + Boosted,Khimji Jewellers,Odisha (HQ: Bhubaneswar),@_priyadarshini_das_,15319,1286202,3776,52,0.29%,24.99%,2026-06-13,https://www.instagram.com/p/DZgvq5GTp-M/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (1,286,202) with sub-0.35% like rate (0.29%) indicates paid ThruPlay ad campaign",Raja feels even more special when every step shines ✨💖
10,Tier 1: Toggle ON + Boosted,C.H. Jewellers,Gujarat (HQ: Vadodara),@rjkshitij,40940,1237940,1829,6,0.15%,4.48%,2025-07-10,https://www.instagram.com/p/DL7pVO3IaK5/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (1,237,940) with sub-0.35% like rate (0.15%) indicates paid ThruPlay ad campaign",✨ Vadodara’s Biggest Jewellery Sale is HERE! ✨
11,Tier 1: Toggle ON + Boosted,Malabar Gold & Diamonds,Kerala (HQ: Kozhikode),@keerthana.s.k,204550,1156881,4121,81,0.36%,2.05%,2026-01-01,https://www.instagram.com/p/DS99Bs3k0Ym/,🚀 Boosted (Paid Ad Spend): High view multiplier (5.66x followers) with low engagement rate (0.36%),@malabargoldanddiamonds brings back all my wedding memories every single time. 💛
12,Tier 1: Toggle ON + Boosted,Malabar Gold & Diamonds,Kerala (HQ: Kozhikode),@styletalks_pooja,326950,1023886,5081,71,0.50%,1.58%,2026-01-17,https://www.instagram.com/p/DTnPY0fCWTr/,"🔍 Likely Boosted (Targeted Ad): Disproportionate views (1,023,886) relative to likes (5,081)","Traditional weddings always feel very special to me.There’s so much richness already,the saree, the colours, the setting."
13,Tier 1: Toggle ON + Boosted,GRT Jewellers,Tamil Nadu (HQ: Chennai),@devadarshnichetan,199604,1012240,6600,20,0.65%,3.32%,2025-05-11,https://www.instagram.com/p/DJgJZHYReFO/,🚀 Boosted (Paid Ad Spend): High view multiplier (5.07x followers) with low engagement rate (0.65%),Happy Mother’s Day! 🌸
14,Tier 1: Toggle ON + Boosted,P. C. Chandra Jewellers,West Bengal (HQ: Kolkata),@shreellous,165834,657219,3112,84,0.47%,1.93%,2026-06-28,https://www.instagram.com/p/DaIWy5rpVaH/,"🔍 Likely Boosted (Targeted Ad): Disproportionate views (657,219) relative to likes (3,112)","I’ve always found it difficult to part with old jewellery, not because of its value, but because of the memories attached to it."
15,Tier 2: Toggle ON + Organic,Tanishq,"Pan-India / Karnataka (HQ: Bengaluru, Titan)",@anupamaparameswaran96,16578657,18791181,271123,937,1.44%,1.64%,2025-04-25,https://www.instagram.com/p/DI3sKEcpLpn/,"⚪ Standard Organic: Normal organic engagement curve (1.44% like rate, 1.13x reach)","After playing brides on screen so many times, I finally got to create a bridal look that feels truly mine. Choosing this elegant Kundan haaram and ban"
16,Tier 2: Toggle ON + Organic,Tanishq,"Pan-India / Karnataka (HQ: Bengaluru, Titan)",@anupamaparameswaran96,16578657,5123710,201950,332,3.94%,1.22%,2025-10-03,https://www.instagram.com/p/DPWTCz0iYfP/,"⚪ Standard Organic: Normal organic engagement curve (3.94% like rate, 0.31x reach)",Such a heartfelt surprise from @tanishqjewellery celebrating my 10 years on screen!
17,Tier 2: Toggle ON + Organic,Prince Jewellery,Tamil Nadu (HQ: Chennai),@archanachandhoke,1489968,3884590,57949,136,1.49%,3.90%,2026-06-13,https://www.instagram.com/p/DZhumaMOLny/,"⚪ Standard Organic: Normal organic engagement curve (1.49% like rate, 2.61x reach)",👀 Unga Old Gold’ku ipo more value Kanna! ✨
18,Tier 2: Toggle ON + Organic,Kalamandir Jewellers,Gujarat (HQ: Surat),@pujajoshi_official,639186,2783486,114777,214,4.12%,17.99%,2025-08-01,https://www.instagram.com/p/DMzLrYRPnyb/,"📈 Viral Organic Reach: High organic views (2,783,486) accompanied by strong like rate (4.12%)","From heritage polki to modern diamonds, I found it all here. Come experience the beauty of #Kalamandir – because jewelry should be as unforgettable as"
19,Tier 2: Toggle ON + Organic,Prince Jewellery,Tamil Nadu (HQ: Chennai),@irfansview.official,1818246,2486446,55112,34,2.22%,3.03%,2025-04-06,https://www.instagram.com/p/DIGANbpypBt/,"⚪ Standard Organic: Normal organic engagement curve (2.22% like rate, 1.37x reach)",அடுத்த Purchase-க்கு Alia Ready ஆயிட்டாங்க 🥲❤️ @princejewelleryindia
