#,Brand Name,Creator Handle,Paid Partnership Toggle,Followers,Avg Likes/Post,Avg Comments/Post,Avg ER%,Post Date,Post URL,Detection Method,Caption Preview
1,Palmonas,@anjali_tatrari,⚪ OFF (Collab Only),0,306,24,0.00%,2026-08-23,https://www.instagram.com/p/DcYcX_RtqRJ/,Post owned by partner (collab),"Impersonating my brother only made me realise how annoying he is! 😏 But when it comes to picking a Rakhi gift, he knows exactly what I’d love, and these Palmonas picks prove it! 😌✨  [Its A Tie, Rakshabandhan, Everyday luxury, Demi-fine jewellery, 18k"
2,Palmonas,@mohit.duseja,⚪ OFF (Collab Only),0,347,18,0.00%,2026-08-23,https://www.instagram.com/p/DcXznNSNf3x/,Post owned by partner (collab),"Boys, assemble! 🫡 Your Best Brother title isn’t going to earn itself... 😏  This Rakhi, go the extra mile. Gift your sister Palmonas! 💫✨  (P.S. Thank me later 😉)  [Its A Tie, Rakshabandhan, Everyday luxury, Demi-fine jewellery, 18k gold vermeil, Gold "
3,GIVA Jewellery,@perksofbeing_rajanna,⚪ OFF (Collab Only),0,170,20,0.00%,2026-08-22,https://www.instagram.com/p/DcWAnlSTVXA/,Post owned by partner (collab),"Different personalities. One thing in common: they all shine in silver. ✨  ( Rakhi, Pet Rakhi, Furry Sibling, Pawfect Bond, Furever Sibling, rakhi 2026, Silver Rakhi, Gifts for Sister, Rakhi for Brother, Rakhi for pets)  Shot and edited by @basusreej"
4,Palmonas,@_aaashiiii_,⚪ OFF (Collab Only),0,796,17,0.00%,2026-08-22,https://www.instagram.com/p/DcWL7mdoToE/,Post owned by partner (collab),"When your sibling says, “I don’t want anything for Rakhi,” you know that’s a lie. 😂 So just follow the clues, get the Palmonas × The Face Shop gift, and call it a win-win. 👀 She gets the jewellery and you get to raid her skincare. 🎀  *Offer exclusive"
5,Palmonas,@priya.p.varrier,⚪ OFF (Collab Only),0,18272,117,0.00%,2026-08-22,https://www.instagram.com/p/DcV3B_5SEF4/,Post owned by partner (collab),"Roasting each other is just our love language,I guess. 🤭✨ So, this Rakhi,let the sibling games begin and call it a tie with Palmonas! 💫  [Its A Tie, Rakshabandhan, Everyday luxury, Demi-fine jewellery, 18k gold vermeil, Gold tone jewellery, Timeless,"
6,Palmonas,@mehrpanchal,⚪ OFF (Collab Only),0,3,18,0.00%,2026-08-22,https://www.instagram.com/p/DcVNw9NTyk5/,Post owned by partner (collab),"I’ve officially used up my yearly brother-compliment quota, all thanks to Palmonas. He came through with a little jewellery, so I guess a little appreciation in return is fair. 😌💛   [Its A Tie, Rakshabandhan, Everyday luxury, Demi-fine jewellery, 18k"
7,GIVA Jewellery,@aarya_nagpal,⚪ OFF (Collab Only),0,240,29,0.00%,2026-08-21,https://www.instagram.com/p/DcThAOOhX-Q/,Post owned by partner (collab),"The outfit is only half the look!! GIVA's silver completes it.😉✨ . . .  ( Rakhi, Pet Rakhi, Furry Sibling, Furever Sibling, rakhi 2026, Silver Rakhi, Gifts for Sister, Rakhi for Brother, Rakhi for pets)  #AD #BondsSealedInSilver #explore #GIVAJewelle"
8,GIVA Jewellery,@suvekrawat14,⚪ OFF (Collab Only),0,3,9,0.00%,2026-08-21,https://www.instagram.com/p/DcTBycVNlSQ/,Post owned by partner (collab),"Your brother won’t ask for it, but he’s gonna love these Rakhi gifts.  ( Rakhi, rakhi 2026, Silver Rakhi, Gifts for Sister, Rakhi for Brother,)  #AD #BondsSealedInSilver #GIVAJewellery #FineSilverJewellery"
9,Palmonas,@ayoshitalukdar,⚪ OFF (Collab Only),0,395,29,0.00%,2026-08-21,https://www.instagram.com/p/DcTc2JbIdLb/,Post owned by partner (collab),"Sisterhood is having a built-in best friend, therapist, and certified menace all in one person.  This Rakhi, celebrate that beautifully chaotic bond with Palmonas!✨💛  [Its A Tie, Rakshabandhan, Everyday luxury, Demi-fine jewellery, 18k gold vermeil, "
10,Palmonas,@thefaceshopindia_official,⚪ OFF (Collab Only),0,531,586,0.00%,2026-08-21,https://www.instagram.com/p/DcS_xmwN3EG/,Post owned by partner (collab),"✨RAKHI GIVEAWAY ALERT!✨  Your forever partner-in-crime deserves a little something extra this Rakhi! 👭🏻💚  & That’s why @thefaceshopindia_official x @palmonas_official are teaming up to make sibling gifting twice as exciting, as we’re giving away ₹6,0"
