#,Creator Handle,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
1,@kartikaaryan,Skechers India,KARTIK AARYAN,Yes,Yes,50294891,1289,3388,138004,1359,0.28%,https://www.instagram.com/kartikaaryan/
2,@ananyapanday,Skechers India,Ananya 🌙,Yes,Yes,26281819,1613,1737,67476,1274,0.26%,https://www.instagram.com/ananyapanday/
3,@surya_14kumar,Skechers India,Surya Kumar Yadav (SKY),Yes,Yes,20366023,592,1291,702391,3299,3.47%,https://www.instagram.com/surya_14kumar/
4,@royalenfield,Gully Labs,Royal Enfield,Yes,Yes,3769746,26,5873,12225,19,0.32%,https://www.instagram.com/royalenfield/
5,@thevishnukaushal,Comet,Vishnu Kaushal,Yes,Yes,2104862,1113,1568,227869,1093,10.88%,https://www.instagram.com/thevishnukaushal/
6,@alayaf,Skechers India,ALAYA F,Yes,Yes,2073808,1165,1046,19593,320,0.96%,https://www.instagram.com/alayaf/
7,@sharktank.india,Gully Labs,Shark Tank India,Yes,Yes,1547638,25,3191,11794,62,0.77%,https://www.instagram.com/sharktank.india/
8,@bhaiyajiismile,Skechers India,Sonal Devraj,Yes,Yes,1118123,2009,1192,5595,69,0.51%,https://www.instagram.com/bhaiyajiismile/
9,@aryankatoch17,Gully Labs,Aryan Katoch,Yes,Yes,1103182,1852,360,75443,1158,6.94%,https://www.instagram.com/aryankatoch17/
10,@cartoon_snacks,Gully Labs,Cartoon Snacks,Yes,Yes,859392,271,26,125543,334,14.65%,https://www.instagram.com/cartoon_snacks/
11,@rashmeetkaur,Gully Labs,RASHMEET KAUR,Yes,Yes,836917,3,42,16968,90,2.04%,https://www.instagram.com/rashmeetkaur/
12,@gullycricket_in,Gully Labs,Gully Crickett,Yes,Yes,630625,227,419,33824,157,5.39%,https://www.instagram.com/gullycricket_in/
13,@theclassyfoodophile,Gully Labs,Pavitra Kaur,Yes,Yes,560101,2326,3707,6727,116,1.22%,https://www.instagram.com/theclassyfoodophile/
14,@anyasinghofficial,Skechers India,Anyaa Singh,Yes,Yes,517516,1196,313,16700,79,3.24%,https://www.instagram.com/anyasinghofficial/
15,@officialraga,Gully Labs,RAGA,Yes,Yes,489912,963,979,20288,152,4.17%,https://www.instagram.com/officialraga/
16,@anikjaindesign,Gully Labs,Anik Jain,Yes,Yes,480418,1801,1257,3828,45,0.81%,https://www.instagram.com/anikjaindesign/
17,@hamidbarkzi07,Skechers India,Hamid Barkzi,Yes,Yes,388435,1091,1461,768,17,0.20%,https://www.instagram.com/hamidbarkzi07/
18,@yesmallika,Gully Labs,Mallika Motiramani,Yes,Yes,381433,1007,462,10602,48,2.79%,https://www.instagram.com/yesmallika/
19,@harteerathsingh,Gully Labs,Harteerath Singh Ahluwalia,Yes,Yes,335930,24,1083,1533,30,0.47%,https://www.instagram.com/harteerathsingh/
20,@sameoldseth,Gully Labs,Seth Eaton,Yes,Yes,243090,3211,858,14104,124,5.85%,https://www.instagram.com/sameoldseth/
21,@winonakicks,Gully Labs,Charley McClay,Yes,Yes,231074,2155,1110,37430,112,16.25%,https://www.instagram.com/winonakicks/
22,@hemkunt_foundation,Gully Labs,Hemkunt Foundation,Yes,Yes,230727,3,1401,415,13,0.19%,https://www.instagram.com/hemkunt_foundation/
23,@smartkicksofficial,Gully Labs,Amit Pandey • India’s Sneaker Expert & Culture Creator,Yes,Yes,200449,202,1201,38041,209,19.08%,https://www.instagram.com/smartkicksofficial/
24,@itskivitime,Gully Labs,Kriti Vij and Viren Barman,No,Yes,190473,3,905,3543,30,1.88%,https://www.instagram.com/itskivitime/
25,@i.sahaj,Skechers India,Sahaj Singh,Yes,Yes,183147,1821,2813,829,43,0.48%,https://www.instagram.com/i.sahaj/
26,@capt_dvs,Skechers India,Capt. Dharmveer Singh,Yes,Yes,173074,7094,2075,1411,60,0.85%,https://www.instagram.com/capt_dvs/
27,@anuj.mp4,Gully Labs,Anuj Gupta,Yes,Yes,156713,992,257,2773,33,1.79%,https://www.instagram.com/anuj.mp4/
28,@agamjotsingh_10,Gully Labs,Agamjot Singh,Yes,Yes,156634,1217,384,2386,35,1.55%,https://www.instagram.com/agamjotsingh_10/
29,@parisa.barkzi,Skechers India,Parisa Barkzi,No,Yes,151512,996,1562,544,58,0.40%,https://www.instagram.com/parisa.barkzi/
30,@eeeeshika,Gully Labs,Eshika Tahilramani,No,Yes,140884,1339,903,2641,15,1.89%,https://www.instagram.com/eeeeshika/
31,@peachrinq,Gully Labs,Shaima,No,Yes,138345,675,257,3976,41,2.90%,https://www.instagram.com/peachrinq/
32,@subkocoffee,Gully Labs,Subko Coffee Roasters,Yes,Yes,119642,340,857,1855,14,1.56%,https://www.instagram.com/subkocoffee/
33,@rishiudapurkar,Gully Labs,Rishi Udapurkar,Yes,Yes,113651,800,216,4490,21,3.97%,https://www.instagram.com/rishiudapurkar/
34,@unoindiaofficial,Comet,UNO India,Yes,Yes,110348,1,457,14560,160,13.34%,https://www.instagram.com/unoindiaofficial/
35,@nirobrothers,Gully Labs,Nirvaan and Vedant,No,Yes,96835,2,22,7841,116,8.22%,https://www.instagram.com/nirobrothers/
36,@experiencebroadway_,Gully Labs,Broadway,Yes,Yes,95018,116,783,598,15,0.65%,https://www.instagram.com/experiencebroadway_/
37,@nirvainnn,Gully Labs,Nirvain,No,Yes,82093,336,362,6270,53,7.70%,https://www.instagram.com/nirvainnn/
38,@ex_dee_anas,Gully Labs,Md Anas,No,Yes,76988,5106,821,1738,32,2.30%,https://www.instagram.com/ex_dee_anas/
39,@farakwear,Comet,FARAK | फरक,Yes,Yes,70746,41,463,23278,178,33.16%,https://www.instagram.com/farakwear/
40,@illuminatedmilk,Gully Labs,Shachi,Yes,Yes,63655,2680,358,2046,65,3.32%,https://www.instagram.com/illuminatedmilk/
41,@harshiitarora,Gully Labs,Harshit Arora,Yes,Yes,55628,1140,649,254798,2153,461.91%,https://www.instagram.com/harshiitarora/
42,@negiraman,Gully Labs,Raman Negi,Yes,Yes,47009,1834,193,912,25,1.99%,https://www.instagram.com/negiraman/
43,@talesofcityofficial,Gully Labs,Tales of City ™,Yes,Yes,44037,6,540,2686,163,6.47%,https://www.instagram.com/talesofcityofficial/
44,@nick.shayden,Gully Labs,Nishchaiy Kamra,Yes,Yes,40713,997,341,2462,12,6.08%,https://www.instagram.com/nick.shayden/
45,@adityab27,"Comet, Gully Labs",Aditya Bhalla,Yes,Yes,40490,1183,828,4895,97,12.33%,https://www.instagram.com/adityab27/
46,@veronicasbombay,Comet,Veronica’s,No,Yes,39041,44,707,6645,74,17.21%,https://www.instagram.com/veronicasbombay/
