#,Creator Partner Name,Instagram Handle,Audience Followers,Creator Scale Tier,Captured on IG Grid?,Live Active Ads,Total Ads Seen,Sample Ad Library URL
1,Shraddha Kapoor,@shraddhakapoor,93000000,🌟 Mega Creator / Celebrity (1M+),Yes (Co-Author Grid),19,23,https://www.facebook.com/ads/library/?id=616056441550193
2,Nikita Dhongdi,@nikitadhongdi,833000,🚀 Macro Creator (100K - 1M),Yes (Co-Author Grid),3,3,https://www.facebook.com/ads/library/?id=1065397872624296
3,Miesha Iyer,@mieshaiyer,893000,🚀 Macro Creator (100K - 1M),Yes (Co-Author Grid),2,2,https://www.facebook.com/ads/library/?id=1727159331857216
4,Faby Makeupartist,@faby_makeupartist,781000,🚀 Macro Creator (100K - 1M),Yes (Co-Author Grid),2,2,https://www.facebook.com/ads/library/?id=1027353960154098
5,Thecozyvibe,@thecozyvibe,589000,🚀 Macro Creator (100K - 1M),Yes (Co-Author Grid),2,2,https://www.facebook.com/ads/library/?id=1542498433445472
6,_justreythings_,@_justreythings_,21000,🎯 Micro (10K-50K),No (Meta Dark Ad Only),2,2,https://www.facebook.com/ads/library/?id=1777391613399338
7,Someone known,@someone_known,20,🌱 Nano (<10K),No (Meta Dark Ad Only),2,2,https://www.facebook.com/ads/library/?id=1021630827372869
8,Mohit Hiranandani,@mohithiranandani,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),2,2,https://www.facebook.com/ads/library/?id=1386884806722943
9,Tusharr Khanna,@tusharrkhanna,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),2,2,https://www.facebook.com/ads/library/?id=1948686195843124
10,Surbhi Rathore,@surbhirathore,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),1,1,https://www.facebook.com/ads/library/?id=1028025520120474
11,Palmonas,@palmonas,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),1,1,https://www.facebook.com/ads/library/?id=1527178248745481
12,GoKwik,@gokwik,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),1,1,https://www.facebook.com/ads/library/?id=1282794036651106
13,jaagriiti,@jaagriiti,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),1,1,https://www.facebook.com/ads/library/?id=4078253655639961
14,Anicka,@anicka,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),0,1,https://www.facebook.com/ads/library/?id=1352795790262660
15,Rushali Yadav,@rushaliyadav,0,Meta Dark Ad Partner,No (Meta Dark Ad Only),0,1,https://www.facebook.com/ads/library/?id=2113257942931000
