#,Creator Handle,Creator Tier / Size,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
1,@ajaydevgn,🌟 Mega Creator / Celebrity (1M+),Nepa Rudraksha,ajaydevgn,No,No,12000000,27,973,85483,940,0.72%,https://www.instagram.com/ajaydevgn/
2,@tanyamittalofficial,🌟 Mega Creator / Celebrity (1M+),Japam,tanyamittalofficial,No,No,5000000,2170,4460,250766,1789,5.05%,https://www.instagram.com/tanyamittalofficial/
3,@geeta_gyaan19,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,geeta_gyaan19,No,No,4000000,323,555,470,30,0.01%,https://www.instagram.com/geeta_gyaan19/
4,@shannu_7,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,shannu_7,No,No,3000000,308,576,57975,70,1.93%,https://www.instagram.com/shannu_7/
5,@aishwaryakaushik__,🌟 Mega Creator / Celebrity (1M+),"Divine Hindu, Japam",aishwaryakaushik__,No,No,2000000,48,1872,16090,247,0.82%,https://www.instagram.com/aishwaryakaushik__/
6,@alekhyaharika_,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,alekhyaharika_,No,No,2000000,306,819,17286,0,0.86%,https://www.instagram.com/alekhyaharika_/
7,@amarraghuofficial,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,amarraghuofficial,No,No,2000000,251,927,73460,9499,4.15%,https://www.instagram.com/amarraghuofficial/
8,@cowsblike,🌟 Mega Creator / Celebrity (1M+),Japam,cowsblike,No,No,2000000,31,1342,311917,527,15.62%,https://www.instagram.com/cowsblike/
9,@dr.shubhamsanatani,🌟 Mega Creator / Celebrity (1M+),"Divine Hindu, Japam",dr.shubhamsanatani,No,No,2000000,160,1029,10970,250,0.56%,https://www.instagram.com/dr.shubhamsanatani/
10,@harvish_official,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,harvish_official,No,No,2000000,93,1031,3,13,0.00%,https://www.instagram.com/harvish_official/
11,@midnight_traveller_sonu,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,midnight_traveller_sonu,No,No,2000000,330,1789,10117,134,0.51%,https://www.instagram.com/midnight_traveller_sonu/
12,@sharktank.india,🌟 Mega Creator / Celebrity (1M+),Japam,sharktank.india,No,No,2000000,25,3192,2413,122,0.13%,https://www.instagram.com/sharktank.india/
13,@sweetymofficial,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,sweetymofficial,No,No,2000000,188,298,7503,42,0.38%,https://www.instagram.com/sweetymofficial/
14,@vidhya_vidhu21,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,vidhya_vidhu21,No,No,2000000,104,1376,243293,924,12.21%,https://www.instagram.com/vidhya_vidhu21/
15,@milindrunning,🌟 Mega Creator / Celebrity (1M+),Rudralife,milindrunning,No,No,2000000,53,2112,57237,459,2.88%,https://www.instagram.com/milindrunning/
16,@anshvanshchauhan01,🌟 Mega Creator / Celebrity (1M+),"Divine Hindu, House of Rudra",anshvanshchauhan01,No,No,1000000,452,1266,456,12,0.05%,https://www.instagram.com/anshvanshchauhan01/
17,@asopacharu,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,asopacharu,No,No,1000000,457,3776,2590,37,0.26%,https://www.instagram.com/asopacharu/
18,@epic_sunny_01,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,epic_sunny_01,No,No,1000000,170,1430,625319,5316,63.06%,https://www.instagram.com/epic_sunny_01/
19,@kushalbhadra,🌟 Mega Creator / Celebrity (1M+),Japam,kushalbhadra,No,No,1000000,50,2244,641,58,0.07%,https://www.instagram.com/kushalbhadra/
20,@mr.wolfthink,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,mr.wolfthink,No,No,1000000,1,1076,2327,66,0.24%,https://www.instagram.com/mr.wolfthink/
21,@pavanedition,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,pavanedition,No,No,1000000,9,621,53069,1185,5.43%,https://www.instagram.com/pavanedition/
22,@rashmithapoojary96,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,rashmithapoojary96,No,No,1000000,287,1620,41363,279,4.16%,https://www.instagram.com/rashmithapoojary96/
23,@rohitpandey_65,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,rohitpandey_65,No,No,1000000,202,1842,1448,32,0.15%,https://www.instagram.com/rohitpandey_65/
24,@theankitzone,🌟 Mega Creator / Celebrity (1M+),"Divine Hindu, Japam",theankitzone,No,No,1000000,4,3585,3,8,0.00%,https://www.instagram.com/theankitzone/
25,@varun._.aradya,🌟 Mega Creator / Celebrity (1M+),Divine Hindu,varun._.aradya,No,No,1000000,249,2013,103659,175,10.38%,https://www.instagram.com/varun._.aradya/
26,@withsadhguru,🚀 Macro Creator (100K - 1M),Isha Life India,withsadhguru,No,No,978000,118,6519,1408,13,0.15%,https://www.instagram.com/withsadhguru/
27,@__shiv_001_,🚀 Macro Creator (100K - 1M),Divine Hindu,__shiv_001_,No,No,960000,46,561,1216,15,0.13%,https://www.instagram.com/__shiv_001_/
28,@voiceofkrishnaveniofficial,🚀 Macro Creator (100K - 1M),Japam,voiceofkrishnaveniofficial,No,No,906000,267,630,2279,432,0.30%,https://www.instagram.com/voiceofkrishnaveniofficial/
29,@black_raavanan,🚀 Macro Creator (100K - 1M),Japam,black_raavanan,No,No,877000,1064,1593,1018,67,0.12%,https://www.instagram.com/black_raavanan/
30,@i_amgovindnishad,🚀 Macro Creator (100K - 1M),Divine Hindu,i_amgovindnishad,No,No,856000,99,1413,352,19,0.04%,https://www.instagram.com/i_amgovindnishad/
31,@mani_bhattachariya,🚀 Macro Creator (100K - 1M),Divine Hindu,mani_bhattachariya,No,No,831000,78,1349,414,16,0.05%,https://www.instagram.com/mani_bhattachariya/
32,@sargun_kaur.luthra,🚀 Macro Creator (100K - 1M),Divine Hindu,sargun_kaur.luthra,No,No,823000,732,193,3412,63,0.42%,https://www.instagram.com/sargun_kaur.luthra/
33,@kanishkatalenthub,🚀 Macro Creator (100K - 1M),Divine Hindu,kanishkatalenthub,No,No,814000,203,707,3,41,0.01%,https://www.instagram.com/kanishkatalenthub/
34,@sushiltales,🚀 Macro Creator (100K - 1M),Divine Hindu,sushiltales,No,No,797000,11,238,3,10,0.00%,https://www.instagram.com/sushiltales/
35,@priya.savadi,🚀 Macro Creator (100K - 1M),Divine Hindu,priya.savadi,No,No,791000,341,1410,4293,34,0.55%,https://www.instagram.com/priya.savadi/
36,@nikitindheer,🚀 Macro Creator (100K - 1M),Divine Hindu,nikitindheer,No,No,733000,21,109,4969,123,0.69%,https://www.instagram.com/nikitindheer/
37,@ashbar666,🚀 Macro Creator (100K - 1M),Divine Hindu,ashbar666,No,No,729000,17,597,1304,53,0.19%,https://www.instagram.com/ashbar666/
38,@bloodysatya,🚀 Macro Creator (100K - 1M),Japam,bloodysatya,No,No,715000,232,2031,1555,37,0.22%,https://www.instagram.com/bloodysatya/
39,@srushti_s_official_96k,🚀 Macro Creator (100K - 1M),Divine Hindu,srushti_s_official_96k,No,No,673000,159,540,3,38,0.01%,https://www.instagram.com/srushti_s_official_96k/
40,@manvendra28,🚀 Macro Creator (100K - 1M),Japam,manvendra28,No,No,658000,370,2451,3591,40,0.55%,https://www.instagram.com/manvendra28/
41,@secret_temples,🚀 Macro Creator (100K - 1M),Rudralife,secret_temples,No,No,658000,255,2227,6634,40,1.01%,https://www.instagram.com/secret_temples/
42,@chetnabalharaofficial,🚀 Macro Creator (100K - 1M),Divine Hindu,chetnabalharaofficial,No,No,649000,581,484,1753,34,0.28%,https://www.instagram.com/chetnabalharaofficial/
43,@rahulzehtra,🚀 Macro Creator (100K - 1M),Japam,rahulzehtra,No,No,648000,458,149,6300,83,0.99%,https://www.instagram.com/rahulzehtra/
44,@ililuminate,🚀 Macro Creator (100K - 1M),Divine Hindu,ililuminate,No,No,619000,45,87,837,35,0.14%,https://www.instagram.com/ililuminate/
45,@vishal_horror_,🚀 Macro Creator (100K - 1M),Japam,vishal_horror_,No,No,605000,20,614,3,26,0.00%,https://www.instagram.com/vishal_horror_/
46,@swastikproductions,🚀 Macro Creator (100K - 1M),Rudralife,swastikproductions,No,No,604000,78,8263,602,13,0.10%,https://www.instagram.com/swastikproductions/
47,@akhil_rajputt0,🚀 Macro Creator (100K - 1M),House of Rudra,akhil_rajputt0,No,No,586000,5,289,559,12,0.10%,https://www.instagram.com/akhil_rajputt0/
48,@tanukusisters,🚀 Macro Creator (100K - 1M),Japam,tanukusisters,No,No,575000,18,468,27221,415,4.81%,https://www.instagram.com/tanukusisters/
49,@avinash_rajput_official,🚀 Macro Creator (100K - 1M),Divine Hindu,avinash_rajput_official,No,No,571000,206,1879,2939,63,0.53%,https://www.instagram.com/avinash_rajput_official/
50,@tech_x_rhea,🚀 Macro Creator (100K - 1M),Divine Hindu,tech_x_rhea,No,No,547000,213,350,3,8,0.00%,https://www.instagram.com/tech_x_rhea/
51,@shalutyagidance,🚀 Macro Creator (100K - 1M),Divine Hindu,shalutyagidance,No,No,544000,445,986,1171,22,0.22%,https://www.instagram.com/shalutyagidance/
