#,Brand Name,Creator Handle,Paid Partnership Toggle,Followers,Avg Likes/Post,Avg Comments/Post,Avg ER%,Post Date,Post URL,Detection Method,Caption Preview
1,Kalamandir Jewellers,@yashvi_vanani,OFF (Collab Only),30964,625,6,2.04%,2026-08-20,https://www.instagram.com/p/DcQy1hvPHmu/,Post owned by partner (collab),"Hey brides, if you’re shopping for your wedding jewellery, this might be the perfect time to start exploring Kalamandir Jewellers."
2,P. N. Gadgil Jewellers (PNG),@gurgaonmerijan,OFF (Collab Only),342665,3693,132,1.12%,2026-08-20,https://www.instagram.com/p/DcRFmP9hKPB/,Post owned by partner (collab),A legacy of fine craftsmanship has officially arrived in Gurugram! ✨
3,P. N. Gadgil Jewellers (PNG),@itikakamra,OFF (Collab Only),93906,999,35,1.10%,2026-08-20,https://www.instagram.com/p/DcRFpXoN_2i/,Post owned by partner (collab),*Where heritage meets the art of fine jewellery. ✨*
4,Kalamandir Jewellers,@mommyadventures_with_raahat,OFF (Collab Only),568051,4405,155,80.30%,2026-08-19,https://www.instagram.com/p/DcOJSTuM_uT/,Post owned by partner (collab),"Vadodara, the wait is finally over! ✨"
5,P. N. Gadgil Jewellers (PNG),@lokmat_sakhi,OFF (Collab Only),419846,245,1,5.88%,2026-08-19,https://www.instagram.com/p/DcON_x4jOIm/,Post owned by partner (collab),स्त्रीच्या सौंदर्याला पूर्णत्व देणारा आणि अखंड सौभाग्याचं प्रतीक असलेला दागिना म्हणजे 'मंगळसूत्र'! विश्वासाची परंपरा जपणाऱ्या पीएनजी ज्वेलर्स मध्ये सु
6,Sri Jagdamba Pearls,@nilakshidekaofficial,OFF (Collab Only),11868,461,9,3.97%,2026-08-19,https://www.instagram.com/p/DcN_MJCvKBU/,Post owned by partner (collab),100 years of pearls from @jagdambapearls a lifetime of a mother’s love. 🤍
7,Sri Jagdamba Pearls,@nikhitha_kale,OFF (Collab Only),14327,20204,72,1.42%,2026-08-19,https://www.instagram.com/p/DcLpHm6BMS4/,Post owned by partner (collab),"This Raksha Bandhan, gift something timeless with Sri Jagdamba Pearls."
8,P. N. Gadgil Jewellers (PNG),@gurugraminside,OFF (Collab Only),64482,277,26,47.08%,2026-08-18,https://www.instagram.com/p/DcLs3wFTxvx/,Post owned by partner (collab),"A fresh milestone in Gurugram, shaped in brilliance. ✨"
9,P. N. Gadgil Jewellers (PNG),@our_gurugram,OFF (Collab Only),153888,356,7,23.61%,2026-08-18,https://www.instagram.com/p/DcLoMSpvsQV/,Post owned by partner (collab),"Gurugram, your PNG story begins here."
10,Sri Jagdamba Pearls,@jagdambapearlsstore,OFF (Collab Only),38063,106,14,31.94%,2026-08-18,https://www.instagram.com/p/DcLDulpidMR/,Post owned by partner (collab),From a small pearl business to a legacy built for the future. ✨
11,Kalamandir Jewellers,@jhilmil_vashistha,OFF (Collab Only),23387,80,39,51.45%,2026-08-17,https://www.instagram.com/p/DcIjiEIKFns/,Post owned by partner (collab),They keep saying nobody understands what a girl actually wants. It’s not complicated. 🤍
12,Amrapali Jewels,@fortune.india,OFF (Collab Only),90209,149,2,16.88%,2026-08-16,https://www.instagram.com/p/DcGfBo3h8tH/,Post owned by partner (collab),"#Watch | Tarang Arora, CEO of Amrapali Jewels, believes the more technology and AI reshape jewellery-making, the more valuable human craftsmanship wil"
13,Kalamandir Jewellers,@pranali_mistry_,OFF (Collab Only),218070,2561,89,1.22%,2026-08-16,https://www.instagram.com/p/DcFk42nOU8M/,Post owned by partner (collab),WAIT IS OVER!! @kalamandirjewellers is now in Vadodara. And to mark this grand opening they are introducing “Shubh Aarambh Mahotsav” with up to 100% o
14,Amrapali Jewels,@tarang_arora,OFF (Collab Only),31621,585,25,1.93%,2026-08-14,https://www.instagram.com/p/DcBkal9IJi2/,Post owned by partner (collab),"A handful of dreams, set in stone and gold."
15,Sri Jagdamba Pearls,@ladhanifemina,OFF (Collab Only),141885,172,35,14.61%,2026-08-14,https://www.instagram.com/p/DcAlhmeupAG/,Post owned by partner (collab),Shree Jagdamba Pearls makes Raksha Bandhan gifting extra special. ✨❤️
16,Sri Jagdamba Pearls,@stargirl.madhu,OFF (Collab Only),6899,361,20,5.54%,2026-08-14,https://www.instagram.com/p/DcBXGTUKONV/,Post owned by partner (collab),Use my coupon code “madhuri12” to avail an extra 12% discount
17,Kalamandir Jewellers,@priyayadav_,OFF (Collab Only),79756,1361,30,1.74%,2026-08-13,https://www.instagram.com/p/Db99vUINTIm/,Post owned by partner (collab),Because every woman remembers her first ❤️
18,Mor Jewellers,@makeupbyrumaisa_,OFF (Collab Only),2189,338,19,16.33%,2026-08-13,https://www.instagram.com/p/Db_CnYQMs_4/,Post owned by partner (collab),Bridal Campaign 26’✨✨
19,Sri Jagdamba Pearls,@yugmitadas__,OFF (Collab Only),3953,676,77,19.07%,2026-08-13,https://www.instagram.com/p/Db-f9KWzfgi/,Post owned by partner (collab),Found the Prettiest Minimal Pearl Jewellery from @jagdambapearls ✨🪷🐚
20,GRT Jewellers,@sirihanmanth,OFF (Collab Only),969440,21629,66,2.24%,2026-08-12,https://www.instagram.com/p/Db8GRR_NtV_/,Post owned by partner (collab),"When the people are precious, the memories are priceless, and the moments are unforgettable, let the gift be timeless too. ✨"
21,Mor Jewellers,@makeupbyrumaisa_,OFF (Collab Only),2189,338,19,16.33%,2026-08-12,https://www.instagram.com/p/Db8MybxM5zK/,Post owned by partner (collab),Coming Soon! ✨✨
22,Prince Jewellery,@i_prathibha,OFF (Collab Only),1111575,61028,238,5.51%,2026-08-12,https://www.instagram.com/p/Db8D3IiPa0G/,Post owned by partner (collab),⏱️ Spend 60 seconds with me & save ₹600/gram on Gold Jewellery @princejewelleryindia💰✨
23,Kalamandir Jewellers,@rajshree31_,OFF (Collab Only),105651,3317,78,3.21%,2026-08-11,https://www.instagram.com/p/Db5e_rlz6_W/,Post owned by partner (collab),The perfect time to bring home that dream piece? Right now. ✨
24,Sri Jagdamba Pearls,@steerinstylewithshweta,OFF (Collab Only),28239,142,10,53.97%,2026-08-11,https://www.instagram.com/p/Db3BPc3xf4Q/,Post owned by partner (collab),"Bonds which are beautifully complicated, but the love behind them is always simple — that is the sibling bond. 🤍"
25,Sri Jagdamba Pearls,@aryaamazumder,OFF (Collab Only),,,,,2026-08-11,https://www.instagram.com/p/Db5bU4aPRqv/,Post owned by partner (collab),"This Rakshabandhan, choose a gift that stays. Just like pearls, true bonds endure through the years."
26,Sri Jagdamba Pearls,@kits.talks,OFF (Collab Only),28436,330,16,1.22%,2026-08-11,https://www.instagram.com/p/Db4hkUMNgES/,Post owned by partner (collab),Some gifts are beautiful… and some become memories. 🤍✨
27,C.H. Jewellers,@rashmi_kansara,OFF (Collab Only),76677,174,6,23.62%,2026-08-10,https://www.instagram.com/p/Db20gU_vsnv/,Post owned by partner (collab),✨ YOU ASKED. WE LISTENED. ✨
28,Sri Jagdamba Pearls,@vrinda__saxena_chandrawat,OFF (Collab Only),1004,59,6,6.57%,2026-08-10,https://www.instagram.com/p/Db3Jwg6BXQC/,Post owned by partner (collab),"Brothers, consider this your sign to skip the “what should I gift her?” panic this Rakhi. 😉✨"
29,Sri Jagdamba Pearls,@vaishalikokate27,OFF (Collab Only),52202,4032,115,7.95%,2026-08-10,https://www.instagram.com/p/Db27K8TNwPe/,Post owned by partner (collab),"Pearls, saree & a little sunshine… some things just belong together. 🤍☀️"
30,Sri Jagdamba Pearls,@saifaamreen_,OFF (Collab Only),25454,12617,53,49.78%,2026-08-10,https://www.instagram.com/p/Db247pNsUwa/,Post owned by partner (collab),Some gifts are more than just beautiful they carry a little piece of love. ✨
31,Mor Jewellers,@lybabutt,OFF (Collab Only),59429,11180,63,18.92%,2026-08-09,https://www.instagram.com/p/Db05nCgIUy6/,Post owned by partner (collab),2026 Bridal Campaign | Reception Look 🤍
32,Prince Jewellery,@shreee_offl,OFF (Collab Only),643414,30101,233,4.71%,2026-08-09,https://www.instagram.com/p/Db0fHhvT1iY/,Post owned by partner (collab),Aadi Special ✨ @princejewelleryindia
33,Prince Jewellery,@bhumika_basavaraj,OFF (Collab Only),2261117,28617,283,1.28%,2026-08-09,https://www.instagram.com/p/DbzsH3EKxyg/,Post owned by partner (collab),✨ Why stay confused when you can Save Double with @princejewelleryindia Jayanagar’s 300/300 Dual Savings Offer? 💛✨
34,Sri Jagdamba Pearls,@aryaamazumder,OFF (Collab Only),,,,,2026-08-09,https://www.instagram.com/p/Db1M0jHE1gy/,Post owned by partner (collab),"This Rakshabandhan, choose a gift that stays. Just like pearls, true bonds endure through the years."
35,Sri Jagdamba Pearls,@picksby_siri,OFF (Collab Only),20701,794,2399,15.43%,2026-08-09,https://www.instagram.com/p/Db0hjYaOzzL/,Post owned by partner (collab),Some gifts become memories you cherish forever.
36,Kalamandir Jewellers,@komalvora.official,OFF (Collab Only),275885,774,7,28.33%,2026-08-08,https://www.instagram.com/p/Dbw-cbzobow/,Post owned by partner (collab),"Kabhi-kabhi ek chhoti si khabar, bade sapno ki shuruaat ban jaati hai… 💎"
