#,Brand Name,Paid Collab Posts,Unique Creators,Toggle ON,Toggle OFF,Toggle ON %,Avg Creator Followers,Avg Creator ER%,Latest Collab Date,Top Creator / Partner Samples
1,Mor Jewellers,146,46,0,146,0.0%,48310,28.64%,2026-08-13,"@makeupbyrumaisa_, @lybabutt, @the.ghazall_, @celebration.capturing"
2,P. C. Chandra Jewellers,98,42,12,86,12.2%,2572122,19.64%,2026-06-28,"@shreellous, @adrija_roy_official, @megha_sidharth, @garimasgoodlife"
3,GRT Jewellers,87,71,15,72,17.2%,1010065,11.08%,2026-08-12,"@sirihanmanth, @roshniharipriyan, @divya_uruduga, @mokshitha22"
4,Malabar Gold & Diamonds,82,29,9,73,11.0%,358064,84.42%,2026-07-21,"@minediamondsbymalabar, @esharkansara, @athmika_sumithran, @nikimehra"
5,Senco Gold & Diamonds,82,12,2,80,2.4%,1860254,68.06%,2026-06-30,"@singini.chowdhury, @sonalimitra_, @itsrosidas, @shrutimajumdarr"
6,Sri Jagdamba Pearls,71,41,4,67,5.6%,54294,27.33%,2026-08-19,"@nilakshidekaofficial, @nikhitha_kale, @jagdambapearlsstore, @ladhanifemina"
7,Palmonas,62,58,0,62,0.0%,0,0.00%,2026-08-23,"@anjali_tatrari, @mohit.duseja, @_aaashiiii_, @priya.p.varrier"
8,Khimji Jewellers,57,24,2,55,3.5%,296727,14.99%,2026-06-13,"@_priyadarshini_das_, @shanaya_dash, @ankitamohanty_official, @redfmodisha"
9,Anopchand Tilokchand (AT Jewell,52,31,1,51,1.9%,42571,20.56%,2026-07-24,"@rotary.bhilai, @retailjewellerindiaawards, @mirchiricha, @wandering_homiess"
10,GIVA Jewellery,50,48,0,50,0.0%,0,0.00%,2026-08-22,"@perksofbeing_rajanna, @aarya_nagpal, @suvekrawat14, @parvathi_zony"
11,C. Krishniah Chetty & Co (CKC),47,22,0,47,0.0%,47292,27.62%,2026-04-17,"@nethra_reddy__, @historyofbangalore, @hollywoodreporterindia, @radiocitykannada"
12,BlueStone,39,31,3,36,7.7%,141144,48.34%,2026-05-27,"@muskaan.2602, @shruti.agrawal9, @themillennialsoul_s, @shaleena_fightandflight"
13,C.H. Jewellers,38,17,3,35,7.9%,142359,22.30%,2026-08-10,"@rashmi_kansara, @etc.byjiyal, @rjkshitij, @khushaliichauhan"
14,Kalamandir Jewellers,35,30,4,31,11.4%,414304,27.69%,2026-08-20,"@yashvi_vanani, @mommyadventures_with_raahat, @jhilmil_vashistha, @pranali_mistry_"
15,Prince Jewellery,32,29,5,27,15.6%,1084328,14.81%,2026-08-12,"@i_prathibha, @shreee_offl, @bhumika_basavaraj, @irfansview.official"
16,B.C. Sen Jewellers,32,9,0,32,0.0%,74021,18.38%,2026-06-26,"@sreenandashankar, @tanusreeshankar, @theamistory, @anweshaab"
17,DP Abhushan (DP Jewellers),32,18,0,32,0.0%,118967,18.91%,2026-05-27,"@mpleaguet20, @playfulparenthood, @amourabydp, @thediamondtalk"
18,Tanishq,28,18,9,19,32.1%,2416432,17.91%,2026-07-12,"@rahulmishra_7, @titancompanyltd, @fayedsouza, @shivani_bafna"
19,Amrapali Jewels,20,6,0,20,0.0%,1248873,50.75%,2026-08-16,"@fortune.india, @tarang_arora, @houseofmasaba, @masabagupta"
20,Aisshpra Gems & Jewels,17,12,0,17,0.0%,57745,52.43%,2026-05-14,"@theretailjeweller_india, @jewelbuzz_original, @lucknow.aisshpra, @feverfmup"
21,P. N. Gadgil Jewellers (PNG),15,15,0,15,0.0%,273023,28.74%,2026-08-20,"@gurgaonmerijan, @itikakamra, @lokmat_sakhi, @gurugraminside"
22,Lalithaa Jewellery,12,7,1,11,8.3%,179329,40.31%,2026-07-27,"@lalithaajewellerykannada_, @vj_deepika_, @anja_achu, @m.kirankumar_official"
23,Hazoorilal Legacy,11,6,0,11,0.0%,75220,16.99%,2026-08-07,"@roseroomcouture, @zooribyhazoorilallegacy, @monzgupta, @navneetrandhawa"
24,Ulhas Jewellers,11,7,0,11,0.0%,35780,219.73%,2026-07-10,"@pridora.by_ulhas, @narushadsouza, @theretailjeweller_india, @_goenchigazaali_"
25,PC Jeweller,8,2,0,8,0.0%,173515,71.70%,2026-02-02,"@upwarriorz, @silverbypcj"
26,Hira Panna Jewellers,7,7,0,7,0.0%,26569,25.20%,2026-04-14,"@nidhisfoodandtravel, @indu_official_1, @foodie_donga_official, @this_iz_thanu"
27,Waman Hari Pethe (WHP),4,4,0,4,0.0%,145085,102.48%,2025-12-03,"@hiiighondreams, @mahekpundir, @__prernamahadev__, @apurvapatil_30"
28,Runway Nagaland,1,1,0,1,0.0%,22714,31.29%,2026-08-04,@runway_nagaland_crafts
29,Kalyan Jewellers,1,1,0,1,0.0%,327698,19.97%,2026-07-31,@kavyamadhavanofficial
30,Epari Govindam Jewellers,1,1,0,1,0.0%,2482,5.93%,2026-07-23,@nagamaniepari
31,L. Gopal & Sons Jewellers,1,1,0,1,0.0%,11830,2.72%,2026-04-21,@thebluewindow.ghy
