#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Views / Plays (Est.),Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Classification,Caption Preview
1,Tier 1: Toggle ON + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@ansh_rajpal_,684652,10015992,541405,4112,5.41%,79.68%,2026-05-28,https://www.instagram.com/p/DY4g2x5vhxn/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (541,405 likes, ~10,015,992 views) across top creator tier",#AD Middle Class family me privacy hi nhi hoti hai🤣🤣🤣🤣
2,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@vijaysuryaoffl,326303,3777293,204178,1139,5.41%,62.92%,2026-07-29,https://www.instagram.com/p/DbYRyWWuMyF/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (204,178 likes, ~3,777,293 views) across top creator tier",STRANGER THINGS 🩸#ad
3,Tier 1: Toggle ON + Boosted,Tata Neu,"Pan-India / Maharashtra (HQ: Mumbai, Tata Digital)",@avantii2,447871,2287895,123670,1338,5.41%,27.91%,2025-08-29,https://www.instagram.com/p/DN8J8LJDPLg/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (123,670 likes, ~2,287,895 views) across top creator tier","#ad | My mom’s small savings felt insignificant back then. But those tiny amounts, locked away in fixed deposits, gave us our first home. Later, they "
4,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kannikasnekan,758604,2116529,114407,595,5.41%,15.16%,2025-08-12,https://www.instagram.com/p/DNQTEWJvhLP/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (114,407 likes, ~2,116,529 views) across top creator tier","#ad Celebrate Independence with Big Savings!  Sathya’s Independence Day super offer From Aug 14–17, @sathya.retail brings you special offers on all ho"
5,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kannikasnekan,758604,2116529,114407,595,5.41%,15.16%,2025-03-12,https://www.instagram.com/p/DHGieQWvIEk/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (114,407 likes, ~2,116,529 views) across top creator tier","#ad Full Moon LED TV Sale at @sathya.retail  on March 14 from morning 9 to midnight 12! Get up to 70% OFF on LED TVs! 32-inch Smart TV for just ₹6,990"
6,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@pooja.sh_,1137988,2006843,108478,257,5.41%,9.56%,2025-10-03,https://www.instagram.com/p/DPWLZlkj0Vd/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (108,478 likes, ~2,006,843 views) across top creator tier",Dubakoor Diet 😂 Do you know someone like this ? 😂 #ad
7,Tier 1: Toggle ON + Boosted,Electronics Mart,Telangana & Andhra Pradesh (HQ: Hyderabad),@devika029,1071889,1463627,79115,344,5.41%,7.41%,2025-10-11,https://www.instagram.com/p/DPq8avWkrgk/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (79,115 likes) indicates paid media support",#ad Bhaiya ye 1 lakh wala iphone 17 kitte ka diya!!😂
8,Tier 1: Toggle ON + Boosted,Bajaj Electronics,Telangana & Andhra Pradesh (HQ: Hyderabad),@devika029,1071889,1463627,79115,344,5.41%,7.41%,2025-10-11,https://www.instagram.com/p/DPq8avWkrgk/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (79,115 likes) indicates paid media support",#ad Bhaiya ye 1 lakh wala iphone 17 kitte ka diya!!😂
9,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@samosa_mookka,1742426,903614,48844,4101,5.41%,3.04%,2026-01-22,https://www.instagram.com/p/DT0bWYuEkn8/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (48,844 likes) indicates paid media support",Tag with sister 🤣 | #sister #ad #samosamookka #sathyaratail #republicdaysale @sathya.retail Sathya Republic Day Sale is Live!
10,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@vicks.picks_,574112,759887,41075,188,5.41%,7.19%,2025-12-31,https://www.instagram.com/p/DS7ex50jjRs/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (41,075 likes) indicates paid media support",Edutha udan anupi vidavum 📸🤣 #ad
