#,Creator Handle,Creator Tier / Size,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
1,@kartikaaryan,🌟 Mega Creator / Celebrity (1M+),Skechers India,KARTIK AARYAN,Yes,Yes,50294891,1289,3388,138004,1359,0.28%,https://www.instagram.com/kartikaaryan/
2,@ananyapanday,🌟 Mega Creator / Celebrity (1M+),Skechers India,Ananya 🌙,Yes,Yes,26281819,1613,1737,67476,1274,0.26%,https://www.instagram.com/ananyapanday/
3,@surya_14kumar,🌟 Mega Creator / Celebrity (1M+),Skechers India,Surya Kumar Yadav (SKY),Yes,Yes,20366023,592,1291,702391,3299,3.47%,https://www.instagram.com/surya_14kumar/
4,@myntra,🌟 Mega Creator / Celebrity (1M+),"Comet, Gully Labs",myntra,Yes,No,8000000,0,0,4981,227,0.07%,https://www.instagram.com/myntra/
5,@royalenfield,🌟 Mega Creator / Celebrity (1M+),Gully Labs,Royal Enfield,Yes,Yes,3769746,26,5873,12225,19,0.32%,https://www.instagram.com/royalenfield/
6,@thevishnukaushal,🌟 Mega Creator / Celebrity (1M+),Comet,Vishnu Kaushal,Yes,Yes,2104862,1113,1568,227869,1093,10.88%,https://www.instagram.com/thevishnukaushal/
7,@alayaf,🌟 Mega Creator / Celebrity (1M+),Skechers India,ALAYA F,Yes,Yes,2073808,1165,1046,19593,320,0.96%,https://www.instagram.com/alayaf/
8,@amazonfashionin,🌟 Mega Creator / Celebrity (1M+),Gully Labs,amazonfashionin,Yes,No,2000000,0,0,421,11,0.02%,https://www.instagram.com/amazonfashionin/
9,@sharktank.india,🌟 Mega Creator / Celebrity (1M+),Gully Labs,Shark Tank India,Yes,Yes,1547638,25,3191,11794,62,0.77%,https://www.instagram.com/sharktank.india/
10,@bhaiyajiismile,🌟 Mega Creator / Celebrity (1M+),Skechers India,Sonal Devraj,Yes,Yes,1118123,2009,1192,5595,69,0.51%,https://www.instagram.com/bhaiyajiismile/
11,@aryankatoch17,🌟 Mega Creator / Celebrity (1M+),Gully Labs,Aryan Katoch,Yes,Yes,1103182,1852,360,75443,1158,6.94%,https://www.instagram.com/aryankatoch17/
