#,Post Date,Media Type,Views / Plays,Likes,Comments,Like-to-View %,Profile ER%,Co-Authors,Instagram Post URL,Caption
1,2026-08-28,Single Photo,24264,2022,3,8.33%,0.95%,—,https://www.instagram.com/p/DckoCzbzMAW/,"Through every laugh, every little fight and every moment in between, some bonds only grow stronger.   Oriana wishes this beautiful bond of siblings a Happy Raksha Bandhan.  #LifeItYourWay #RakshaBandhan #OrianaByGRT #LightweightJewellery #DiamondJewellery"
2,2026-08-26,Single Photo,24156,2013,2,8.33%,0.94%,—,https://www.instagram.com/p/DcfekcPMeL4/,"Let the spirit of Onam set sail with joy, tradition and a little extra sparkle. Wishing you a beautiful and prosperous Onam! 🌸✨  #OrianaByGRT #Onam #DiamondJewellery"
3,2026-08-25,Single Photo,25284,2107,0,8.33%,0.98%,—,https://www.instagram.com/p/DcdtwKskksB/,"Tiny victories and small moments that bring you happiness are occasions that need to be celebrated too.  #CelebrateEveryMoment with Oriana’s 9KT Edit diamond collection.  Explore our EXCLUSIVE offers! ✨ Diamond: Flat 20% Off* on Diamond Stone Value & Flat 20% Off* on Making charges. Gold: ₹200 Less* per gram on Gold Jewellery Purchase & ₹150 Extra* on Old Gold Exchange. Silver: 20% Off* on Silver Jewellery. Platinum: 30% Off* on Making charges.  Shop for Oriana jewellery at our exclusive showroom at Jayanagar, Bangalore.  #OrianaByGRT #LightweightJewellery #DiamondJewellery"
4,2026-08-22,Single Photo,27864,2322,142,8.33%,1.15%,—,https://www.instagram.com/p/DcU815hAdbm/,"Lightweight Diamond Jewellery to get you through the day with a little shine.  #CelebrateEveryMoment of your day with Oriana 9KT Diamond Jewellery   Explore our EXCLUSIVE offers! ✨ Diamond: Flat 20% Off* on Diamond Stone Value & Flat 20% Off* on Making charges. Gold: ₹200 Less* per gram on Gold Jewellery Purchase & ₹150 Extra* on Old Gold Exchange. Silver: 20% Off* on Silver Jewellery. Platinum: 30% Off* on Making charges.  Shop for Oriana jewellery at our exclusive showroom at Jayanagar, Bangalore.  #OrianaByGRT #LightweightJewellery #DiamondJewellery #9KTJewellery"
5,2026-08-19,Single Photo,22728,1894,2,8.33%,0.89%,—,https://www.instagram.com/p/DcOjaYFtrOU/,"Some days, it’s all about the details.   #CelebrateEveryMoment with Oriana 9KT Diamonds  Explore our EXCLUSIVE offers! ✨ Diamond: Flat 20% Off* on Diamond Stone Value & Flat 20% Off* on Making charges. Gold: ₹200 Less* per gram on Gold Jewellery Purchase & ₹150 Extra* on Old Gold Exchange. Silver: 20% Off* on Silver Jewellery. Platinum: 30% Off* on Making charges.  Shop for Oriana jewellery at our exclusive showroom at Jayanagar, Bangalore.  #OrianaByGRT #LightweightJewellery #DiamondJewellery #9KTJewellery"
6,2026-08-17,Single Photo,121800,10150,31,8.33%,4.76%,—,https://www.instagram.com/p/DcJNAriRUNh/,"The secret to slaying it all day, every day? 9KT diamonds!  #CelebrateEveryMoment with Oriana 9KT Diamond Jewellery  Explore our EXCLUSIVE offers! ✨ Diamond: Flat 20% Off* on Diamond Stone Value & Flat 20% Off* on Making charges. Gold: ₹200 Less* per gram on Gold Jewellery Purchase & ₹150 Extra* on Old Gold Exchange. Silver: 20% Off* on Silver Jewellery. Platinum: 30% Off* on Making charges.  Shop for Oriana jewellery at our exclusive showroom at Jayanagar, Bangalore.  #OrianaByGRT #LightweightJewellery #DiamondJewellery #9KTJewellery"
7,2026-08-15,Single Photo,85140,7095,20,8.33%,3.32%,—,https://www.instagram.com/p/DcC_Byjz0Ih/,"Freedom is choosing your own way, your own style, and adding a little sparkle wherever you go.   Happy Independence Day!"
8,2026-08-14,Single Photo,66984,5582,20,8.33%,2.62%,—,https://www.instagram.com/p/DcBWMKcvLfD/,"Gold and delicate, or bold and colourful? Your earrings say more about your everyday vibe than you think. Which one suits you best?  #CelebrateEveryMoment with Oriana 9KT Diamond Jewellery  Explore our EXCLUSIVE offers! ✨ Diamond: Flat 20% Off* on Diamond Stone Value & Flat 20% Off* on Making charges. Gold: ₹200 Less* per gram on Gold Jewellery Purchase & ₹150 Extra* on Old Gold Exchange. Silver: 20% Off* on Silver Jewellery. Platinum: 30% Off* on Making charges.  Shop for Oriana jewellery at our exclusive showroom at Jayanagar, Bangalore.  #OrianaByGRT #LightweightJewellery #DiamondJewellery #9KTJewellery"
9,2026-08-12,Reel / Video,134501,3,21,0.00%,0.01%,@grtoriana,https://www.instagram.com/p/Db8RyoPzV6y/,"Every mood. Every style. Every vibe.   Step into Oriana and discover jewellery that feels like you. From a variety of designs for everyday sparkle and statement looks, there’s something for every occasion and every personality.  Visit our Jayanagar showroom and find the piece that speaks to you.  #LifeItYourWay with Oriana!"
10,2026-08-11,Single Photo,116772,9731,26,8.33%,4.56%,—,https://www.instagram.com/p/Db58xOTsgdJ/,"Some people wait for special occasions, we say wear the diamonds and #CelebrateEveryMoment with Oriana 9KT Diamond Jewellery  Explore our EXCLUSIVE offers!✨ Diamond: Flat 20% Off* on Diamond Stone Value & Flat 20% Off* on Making charges. Gold: ₹200 Less* per gram on Gold Jewellery Purchase & ₹150 Extra* on Old Gold Exchange. Silver: 20% Off* on Silver Jewellery. Platinum: 30% Off* on Making charges.  Shop for Oriana jewellery at our exclusive showroom at Jayanagar, Bangalore.  #OrianaByGRT #LightweightJewellery #DiamondJewellery #GoldJewellery"
