#,Creator Handle,Creator Tier / Size,Brands Collaborated With,Full Name,Verified,Business / Professional,Total Followers,Following,Total Posts,Avg Likes / Post,Avg Comments / Post,Avg Profile ER%,Instagram Profile URL
1,@shraddhakapoor,🌟 Mega Creator / Celebrity (1M+),Palmonas,shraddhakapoor,No,No,93000000,814,2206,553934,6262,0.60%,https://www.instagram.com/shraddhakapoor/
2,@surabhi.samriddhi,🌟 Mega Creator / Celebrity (1M+),Palmonas,surabhi.samriddhi,No,No,12000000,283,2626,31107,179,0.26%,https://www.instagram.com/surabhi.samriddhi/
3,@ashnoorkaur,🌟 Mega Creator / Celebrity (1M+),Palmonas,ashnoorkaur,No,No,10000000,236,1463,118595,1030,1.20%,https://www.instagram.com/ashnoorkaur/
4,@namanpachori,🌟 Mega Creator / Celebrity (1M+),Palmonas,namanpachori,No,No,9000000,535,792,89966,1329,1.01%,https://www.instagram.com/namanpachori/
5,@priya.p.varrier,🌟 Mega Creator / Celebrity (1M+),Palmonas,priya.p.varrier,No,No,8000000,177,447,30863,193,0.39%,https://www.instagram.com/priya.p.varrier/
6,@aryanshii09,🌟 Mega Creator / Celebrity (1M+),Palmonas,aryanshii09,No,No,5000000,215,853,19556,78,0.39%,https://www.instagram.com/aryanshii09/
7,@akankshachoudhary_official,🌟 Mega Creator / Celebrity (1M+),Palmonas,akankshachoudhary_official,No,No,4000000,1405,452,475088,9253,12.11%,https://www.instagram.com/akankshachoudhary_official/
8,@roshniwaliaa,🌟 Mega Creator / Celebrity (1M+),Palmonas,roshniwaliaa,No,No,4000000,239,706,38207,330,0.96%,https://www.instagram.com/roshniwaliaa/
9,@iamsamyuktha_,🌟 Mega Creator / Celebrity (1M+),Palmonas,iamsamyuktha_,No,No,3000000,581,614,34934,291,1.17%,https://www.instagram.com/iamsamyuktha_/
10,@surbhirathore3_,🌟 Mega Creator / Celebrity (1M+),Palmonas,surbhirathore3_,No,No,3000000,398,548,72153,82,2.41%,https://www.instagram.com/surbhirathore3_/
11,@vaishnavi_rao5,🌟 Mega Creator / Celebrity (1M+),Palmonas,vaishnavi_rao5,No,No,3000000,233,982,19716,108,0.66%,https://www.instagram.com/vaishnavi_rao5/
12,@tishabhoomi5,🌟 Mega Creator / Celebrity (1M+),Palmonas,tishabhoomi5,No,No,3000000,96,919,50238,114,1.68%,https://www.instagram.com/tishabhoomi5/
13,@trysugar,🌟 Mega Creator / Celebrity (1M+),Palmonas,trysugar,No,No,3000000,1201,11000,1481,4284,0.19%,https://www.instagram.com/trysugar/
14,@amazonfashionin,🌟 Mega Creator / Celebrity (1M+),Palmonas,amazonfashionin,No,No,2000000,36,19000,162,8,0.01%,https://www.instagram.com/amazonfashionin/
15,@donalbisht,🌟 Mega Creator / Celebrity (1M+),Palmonas,donalbisht,No,No,2000000,438,2557,12608,105,0.64%,https://www.instagram.com/donalbisht/
16,@esshanya_s_maheshwari,🌟 Mega Creator / Celebrity (1M+),Palmonas,esshanya_s_maheshwari,No,No,2000000,414,1568,9449,82,0.48%,https://www.instagram.com/esshanya_s_maheshwari/
17,@heli_daruwala,🌟 Mega Creator / Celebrity (1M+),Palmonas,heli_daruwala,No,No,2000000,825,561,4596,60,0.23%,https://www.instagram.com/heli_daruwala/
18,@justjanvi,🌟 Mega Creator / Celebrity (1M+),Palmonas,justjanvi,No,No,2000000,451,2049,11581,55,0.58%,https://www.instagram.com/justjanvi/
19,@itusharkhanna,🌟 Mega Creator / Celebrity (1M+),Palmonas,itusharkhanna,No,No,2000000,581,327,35185,187,1.77%,https://www.instagram.com/itusharkhanna/
20,@nidz_20,🌟 Mega Creator / Celebrity (1M+),Palmonas,nidz_20,No,No,2000000,841,585,27858,168,1.40%,https://www.instagram.com/nidz_20/
21,@sanjanasanghi96,🌟 Mega Creator / Celebrity (1M+),Palmonas,sanjanasanghi96,No,No,2000000,1024,1324,48343,267,2.43%,https://www.instagram.com/sanjanasanghi96/
22,@saumyas_world_,🌟 Mega Creator / Celebrity (1M+),Palmonas,saumyas_world_,No,No,2000000,680,1647,16747,288,0.85%,https://www.instagram.com/saumyas_world_/
